original_sentence,summary,level,FRE,performance
It's kind of like electronic cash.,It's similar to digital money.,9,32.56000000000003,0
It's kind of like electronic cash.,It's comparable to cyber cash.,7,49.48000000000002,0
It's kind of like electronic cash.,It's somewhat like online currency.,6,49.48000000000002,0
It's kind of like electronic cash.,It resembles electronic money.,5,-8.724999999999994,0
It's kind of like electronic cash.,It can be compared to virtual currency.,4,54.70142857142861,0
It's kind of like electronic cash.,It is like electronic money in many ways.,3,61.24000000000001,0
It's kind of like electronic cash.,It has similarities to what we call digital cash.,2,56.70000000000002,0
It's kind of like electronic cash.,It is somewhat similar to the concept of electronic money.,1,44.405,0
Here's how I think it could work.|,This is my idea on its functioning.|,1,66.7871428571429,0
Here's how I think it could work.|,This is how I believe it might function.|,2,92.965,0
Here's how I think it could work.|,Here is my thought on how it might work.|,3,113.10000000000002,0
Here's how I think it could work.|,This is how I think it might function.|,4,103.54,0
Here's how I think it could work.|,This is how I believe it can work.|,8,103.54,0
Here's how I think it could work.|,This is how I believe it works.|,9,103.04428571428575,0
We don't know who this person is.,The identity of the individual is unknown.,1,18.44428571428574,1
We don't know who this person is.,The person remains unidentified and unknown.,2,17.44500000000002,0
We don't know who this person is.,We are not sure of the person's identity.,4,71.81500000000001,0
We don't know who this person is.,There is no information on this person's identity.,5,40.09,0
We don't know who this person is.,The person's identity is not known to us.,6,71.81500000000001,0
We don't know who this person is.,This person is unknown to us.,7,87.94500000000002,0
We don't know who this person is.,We do not know the person.,9,102.045,0
We don't know who this person is.,Who is this person?,1,97.025,0
This person is basically virtually disappeared from the internet and from the world.|,This person has essentially vanished from the internet and the world.|,1,57.23363636363638,0
This person is basically virtually disappeared from the internet and from the world.|,This person is largely gone from the internet and the globe.|,2,80.30636363636367,0
This person is basically virtually disappeared from the internet and from the world.|,The person is almost completely absent online and in the world.|,3,64.9245454545455,0
This person is basically virtually disappeared from the internet and from the world.|,This person has almost entirely disappeared from both the internet and the world.|,4,50.470769230769264,0
This person is basically virtually disappeared from the internet and from the world.|,This individual has largely vanished from online platforms and real life.|,5,49.54272727272729,0
This person is basically virtually disappeared from the internet and from the world.|,This person seems to have mostly vanished from both cyberspace and the physical world.|,6,65.72500000000001,1
This person is basically virtually disappeared from the internet and from the world.|,This person has nearly entirely vanished from both the internet and the physical world.|,8,47.59642857142859,0
This person is basically virtually disappeared from the internet and from the world.|,This individual has vanished almost entirely from both the web and the world.|,9,50.470769230769264,0
This person is basically virtually disappeared from the internet and from the world.|,This person has nearly vanished from both the internet and the world.|,1,74.805,0
"But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments.","It has captured imaginations and created vast economic value, inspiring many to use this technology for various problems beyond electronic payments.",1,0.2057142857142935,0
"But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments.","It has sparked imaginations and created billions in value, inspiring many to use this technology for various issues beyond payments.",2,21.565000000000026,1
"But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments.","Capturing imaginations and creating huge value, it has inspired many to use the technology for more than just payments.",3,31.70789473684212,1
"But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments.","It has inspired many people, created huge economic value, and sparked ideas to use the technology for many problems beyond payments.",4,24.3771428571429,0
"But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments.","Inspiring many people and creating vast economic value, it has sparked ideas to use the technology for a variety of problems, not just payments.",5,27.37500000000003,0
"But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments.","It has inspired many and generated billions in value, encouraging people to find uses for this tech beyond just payments.",6,38.48500000000004,0
"But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments.","It inspired many, creating billions in value and encouraging uses for the tech beyond payments.",7,33.690000000000026,0
"But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments.","It has inspired many and created economic value, showing the tech's use beyond payments.",8,35.5107142857143,0
"But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments.","It inspired people, created value, and proved the tech's wider use.",9,57.23363636363638,0
"Now, that's not exactly what this class is about.",This class is about something different.,9,59.745000000000005,0
"Now, that's not exactly what this class is about.",This subject is different from your idea.,8,54.70142857142861,0
"Now, that's not exactly what this class is about.",The class focus is different from your understanding.,7,50.66500000000002,0
"Now, that's not exactly what this class is about.",The focus of the class differs from your current understanding.,5,61.32500000000002,0
"Now, that's not exactly what this class is about.",What you think the class is about is not correct; it's different.,4,81.85500000000002,0
"Now, that's not exactly what this class is about.","Contrary to your assumption, the subject of this class is different.",1,57.23363636363638,0
This class is not going to be about applications.,This course won't focus on applications.,9,59.745000000000005,0
This class is not going to be about applications.,This class will not be discussing applications.,8,54.70142857142861,0
This class is not going to be about applications.,Application topics won't be covered in class.,7,54.70142857142861,0
This class is not going to be about applications.,This course will exclude applications in its curriculum.,5,40.09,0
This class is not going to be about applications.,The subject matter of this class will exclude applications.,4,56.70000000000002,0
This class is not going to be about applications.,The curriculum of this class will not encompass applications.,3,37.900000000000034,1
This class is not going to be about applications.,There will be no discussion of applications in this class.,2,69.78500000000001,0
This class is not going to be about applications.,Topics related to applications will not be included in the scope of this class.,1,59.68214285714288,0
This class is not going to be about applications.,The focus of this class will deliberately avoid addressing applications.,1,19.025000000000006,1
This class is going to be about technology and infrastructure.,The class covers technology and infrastructure.,9,17.44500000000002,0
This class is going to be about technology and infrastructure.,The course will discuss tech and infrastructure.,8,66.7871428571429,0
This class is going to be about technology and infrastructure.,You will learn about tech and infrastructure in this course.,7,78.24500000000002,1
This class is going to be about technology and infrastructure.,This course will focus on technology and infrastructure topics.,6,37.900000000000034,0
This class is going to be about technology and infrastructure.,The topics of this course will include technology and infrastructure.,5,44.405,0
This class is going to be about technology and infrastructure.,"This course shall delve into the intricacies of technology and infrastructure topics, aiming to provide deep insights.",3,35.309411764705914,1
This class is going to be about technology and infrastructure.,"The focus of this upcoming course is the elaborate study of technology systems and infrastructure development, encompassing multiple aspects.",2,4.992105263157924,0
That's kind of up to you.,That is somewhat your choice.,1,100.24000000000002,0
That's kind of up to you.,That decision is yours to make.,2,87.94500000000002,0
That's kind of up to you.,You can decide that.,3,97.025,0
That's kind of up to you.,It's up to you to choose.,4,116.14500000000001,0
That's kind of up to you.,The choice is yours.,5,118.17500000000001,0
That's kind of up to you.,You decide.,6,77.90500000000002,0
That's kind of up to you.,You choose.,7,120.20500000000001,0
That's kind of up to you.,You pick.,8,120.20500000000001,0
