original_sentence,summary,level,FRE,performance,performance,performance
It's kind of like electronic cash. Here's how I think it could work.|,It is similar to digital money. This is my idea of its function.|,1,63.57596153846157,0,0,0
It's kind of like electronic cash. Here's how I think it could work.|,"It resembles online cash, and here is my concept of its operation.|",2,60.70500000000001,0,0,0
It's kind of like electronic cash. Here's how I think it could work.|,It is similar to digital money; here is my concept of its working.|,3,63.486153846153854,0,0,0
It's kind of like electronic cash. Here's how I think it could work.|,"It is like digital money, and here is how it could function in practice.|",4,77.81071428571428,0,0,0
It's kind of like electronic cash. Here's how I think it could work.|,It's like digital currency; this is how I believe it can work.|,6,74.805,0,0,0
It's kind of like electronic cash. Here's how I think it could work.|,It's similar to digital cash. This is how it might work.|,8,85.88886363636365,1,1,1
It's kind of like electronic cash. Here's how I think it could work.|,It's like digital cash. This is how it works.|,1,98.8675,0,0,0
And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is.|,Execute this code to join this network. Person's identity remains unknown.,1,47.434318181818185,0,0,0
And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is.|,Here is some code for joining this network. The individual remains unknown.,6,59.745000000000005,0,0,0
And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is.|,Use this code to join the network. The person is unknown.,7,93.57977272727274,0,0,0
And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is.|,Here is the code to join the network. Person is unknown.,8,93.57977272727274,0,0,0
And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is.|,Here is code to join the network. Who is this person?,9,101.27068181818181,0,0,0
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments.","An elusive individual has created something inspiring, generating immense economic value and solving various problems beyond electronic payments.",1,-27.634999999999962,0,0,0
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments.","A reclusive person made something imaginative, worth billions, solving various issues including electronic payments.",2,-6.789285714285711,0,0,0
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments.","A vanished person created something inspiring, generating immense value, solving more than payment issues.",3,17.382142857142867,0,0,0
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments.","Someone elusive made an inspiring creation worth billions, solving various issues beyond payments.",4,17.932307692307717,0,0,0
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments.","A reclusive person created something valuable, solving many problems beyond payments.",5,3.3972727272727354,0,0,0
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments.","Someone made something inspiring and valuable, solving different issues.",6,9.700000000000017,0,0,0
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments.","A person made something that inspires and is valuable, solving many issues.",7,46.60500000000002,0,0,0
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments.","Someone made a valuable, inspiring thing, solving many problems.",8,28.50000000000003,0,0,0
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments.","Someone made something valuable and inspiring, solving problems.",9,29.515000000000015,0,0,0
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments.",Someone made something inspiring and valuable.,1,17.44500000000002,1,1,1
This class is not going to be about applications. This class is going to be about technology and infrastructure.,"This course will focus on technology and infrastructure, not applications.",9,27.485000000000014,0,0,0
This class is not going to be about applications. This class is going to be about technology and infrastructure.,The course is not about applications; it will cover technology and infrastructure.,8,32.504999999999995,0,0,0
This class is not going to be about applications. This class is going to be about technology and infrastructure.,"This class will explore technology and infrastructure, not applications.",7,19.100000000000023,0,0,0
This class is not going to be about applications. This class is going to be about technology and infrastructure.,"The focus of this class is on technology and infrastructure, not applications.",6,39.55500000000001,0,0,0
This class is not going to be about applications. This class is going to be about technology and infrastructure.,This course covers technology and infrastructure rather than applications.,5,9.700000000000017,0,0,0
This class is not going to be about applications. This class is going to be about technology and infrastructure.,"Rather than applications, this class will focus on technology and infrastructure.",4,26.470000000000027,0,0,0
This class is not going to be about applications. This class is going to be about technology and infrastructure.,"Instead of applications, this course emphasizes technology and infrastructure.",3,-9.099999999999994,0,0,0
This class is not going to be about applications. This class is going to be about technology and infrastructure.,"This course, unlike others, is mainly focused on technology and infrastructure rather than applications.",2,23.42500000000001,1,1,1
This class is not going to be about applications. This class is going to be about technology and infrastructure.,This course's main objective is to teach students about technology and infrastructure rather than focusing on applications.,1,20.380000000000024,0,0,0
But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.,"However, we will not handle digital identity or health records, but will discuss the technology.",1,33.690000000000026,0,0,0
But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.,"We will neither manage digital identity nor health records, just discuss the tech.",2,50.470769230769264,0,0,0
But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.,"We won't manage digital identity or health records, only discuss technology.",3,18.77909090909094,0,0,0
But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.,"We're not handling digital identity or health records, just discussing technology.",4,18.77909090909094,0,0,0
But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.,We won't handle digital identity or health records. We'll discuss technology.,5,32.05250000000001,0,0,0
But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.,"We will neither do digital identity nor health records, only discuss tech.",6,46.60500000000002,0,0,0
But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.,"We won't be doing digital identity or health records, just talking technology.",7,32.504999999999995,0,0,0
