original_sentence,summary,level,FRE,total_words,total_sentences,total_syllables
"obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a forum on an email list and said, hey, I have this idea for this thing called Bitcoin. It's kind of like electronic cash. Here's how I think it could work. And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is","A pseudonym online shared a paper and code for Bitcoin, calling it electronic cash, inviting others to join the peer-to-peer network",9,91.31,22,1,35
"obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a forum on an email list and said, hey, I have this idea for this thing called Bitcoin. It's kind of like electronic cash. Here's how I think it could work. And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is",Bitcoin was introduced 10 years ago by an unknown person who shared a paper and code on a forum,8,83.78,20,1,30
"obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a forum on an email list and said, hey, I have this idea for this thing called Bitcoin. It's kind of like electronic cash. Here's how I think it could work. And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is","Around 10 years ago, Bitcoin appeared with a paper and code posted by a pseudonymous person online",7,72.57,22,1,33
"obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a forum on an email list and said, hey, I have this idea for this thing called Bitcoin. It's kind of like electronic cash. Here's how I think it could work. And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is",Bitcoin was introduced by someone using a pseudonym 10 years ago; they shared a paper and code on a forum,6,64.29,23,1,37
"obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a forum on an email list and said, hey, I have this idea for this thing called Bitcoin. It's kind of like electronic cash. Here's how I think it could work. And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is","Someone using a pseudonym introduced Bitcoin 10 years ago by sharing a paper and code, calling it electronic cash",5,52.18,23,1,40
"obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a forum on an email list and said, hey, I have this idea for this thing called Bitcoin. It's kind of like electronic cash. Here's how I think it could work. And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is","About 10 years ago, a pseudonym introduced Bitcoin, describing it as electronic cash and sharing code in a forum",4,46.52,22,1,39
"obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a forum on an email list and said, hey, I have this idea for this thing called Bitcoin. It's kind of like electronic cash. Here's how I think it could work. And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is",The concept of Bitcoin was introduced 10 years ago by an anonymous individual who posted code and a paper in a forum,3,36.1,22,1,42
"obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a forum on an email list and said, hey, I have this idea for this thing called Bitcoin. It's kind of like electronic cash. Here's how I think it could work. And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is","Ten years ago, a person hidden behind a pseudonym shared the idea of Bitcoin on an email list, describing it as electronic cash and provided code to be a part of the network",2,26.99,31,1,57
"obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a forum on an email list and said, hey, I have this idea for this thing called Bitcoin. It's kind of like electronic cash. Here's how I think it could work. And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is","A decade ago, a person using a pseudonym introduced the concept of Bitcoin through an online forum, explaining its potential as electronic cash and sharing code for participating in a peer-to-peer network. The identity of this person remains unknown",1,16.9,37,2,66
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure","This person has disappeared online and in the world but created impactful technology that generated billions in value and inspired problem-solving beyond payments, like banking the unbanked and improving traceability. This class, however, focuses on technology, not applications",1,13.9,46,2,73
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure","The person has vanished from both the internet and the world but has innovated technology resulting in billions of dollars and new problem-solving ideas. This class will focus on technology, not its applications",2,28.7,37,2,58
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure","The person disappeared from the internet and the world but created valuable technology that inspired widely. This class will cover technology, not applications",3,36.4,29,2,38
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure","This innovator disappeared online but created technology worth billions, inspiring new solutions beyond payments. The class will focus on technology and infrastructure",4,45.0,24,2,33
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure","This person disappeared online but created technology worth billions, inspiring solutions beyond payments. This class focuses on technology, not applications",5,56.8,21,2,28
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure","The person vanished online but created billion-dollar technology inspiring new solutions. This class covers technology, not applications",6,65.7,19,2,24
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure","The person vanished but created billion-dollar technology inspiring new solutions. This class covers technology, not applications",7,72.3,18,2,22
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure","They vanished but created valuable technology inspiring new solutions. This class covers technology, not applications",8,83.1,16,2,19
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure","They disappeared but created technology worth billions inspiring solutions. This class covers tech, not apps",9,92.5,14,2,17
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology. So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined","This is a guide on creating cryptocurrencies, the key components and techniques, and their applications. However, digital identity and health care records are not covered. The focus is on the technology and the difference between cryptocurrencies and regular currencies. Terms in this space are evolving",9,94,47,2,60
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology. So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined","You'll learn the process of creating a cryptocurrency, its key parts, essential techniques, and applications. Digital identity and health records are excluded. We'll discuss technology and differences with regular currencies. The terms are still evolving",8,85,40,3,56
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology. So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined","You'll learn how to create a cryptocurrency, its key parts, important techniques, and possible applications. We will not cover digital identity or health records, just the technology and differences from regular currencies. Terms are still evolving",7,75,43,3,64
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology. So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined","You will learn about creating a cryptocurrency, its components, and techniques, and how to apply it. Digital identity and health records are not included. We will discuss technology and differences from regular currencies. Terms in this area are still developing",6,65,43,4,66
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology. So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined","You will be taught how to make a cryptocurrency, its components, techniques, and applications. Digital identity and health care records are excluded. The focus will be on technology and differences from regular currencies. Terms are currently evolving",5,55,41,4,65
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology. So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined","Learn the creation, components, and techniques of a cryptocurrency, including its applications. Topics like digital identity and health records are excluded. We'll focus on technology differences from regular currencies. The terms are still being established",4,48,39,3,64
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology. So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined","You will learn to create a cryptocurrency, understand its parts, essential techniques, and applications. Excluded are topics like digital identity and health records. Focus will be the technology and differences from regular currencies. Terms are still defined",3,35,37,4,66
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology. So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined","In this lesson, you will learn about creating a cryptocurrency, its important parts, the techniques involved, and potential applications. We will not cover digital identity or health care records, focusing instead on the technology itself and its differences from regular currencies. The terms in this space are still being formalized",2,27,46,4,82
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology. So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined","This guide will teach how to create a cryptocurrency, covering its components, crucial techniques, and possible applications. We will not involve digital identity or health care records, instead focusing on the core technology and its distinctions from traditional currencies. The terminology in this field is still being clarified",1,19,46,4,85
"So you will hear people throw around all sorts of terms, cryptocurrency, blockchain, consensus",You will hear terms like cryptocurrency and blockchain frequently,9,92.0,8,1,13
And these words are kind of have floating evolving meanings right now,These terms currently have evolving meanings,9,91.2,6,1,12
"Part of that is because Bitcoin, the first cryptocurrency, didn't come from academia as far as we know","Bitcoin, the first cryptocurrency, didn't come from academia",7,66.9,9,1,20
It came from a community of enthusiasts on the internet,It originated from online enthusiasts,7,66.0,6,1,13
And so it doesn't necessarily have the same basis and rigor that we might expect for most of our academic fields of study,"Thus, it lacks the standard academic rigor",6,60.8,7,1,14
It's totally OK. We're figuring it out as we go along,It's fine; we are learning as we go,8,74.6,8,2,11
"So you will hear people throw around all sorts of terms, cryptocurrency, blockchain, consensus",You will hear terms like cryptocurrency frequently,8,78.8,7,1,12
And these words are kind of have floating evolving meanings right now,These terms have changing meanings currently,6,62.4,6,1,14
"Part of that is because Bitcoin, the first cryptocurrency, didn't come from academia as far as we know",Bitcoin wasn't created in academia but by enthusiasts,5,49.8,9,1,22
It came from a community of enthusiasts on the internet,It was developed by internet enthusiasts,6,60.5,6,1,13
And academia is really embracing this topic,Academia widely accepts this topic,9,94.9,5,1,11
"So if any of you are graduate students who are looking for an area in which to do research, I think basically the number of papers published on cryptocurrencies and blockchain technology in respected academic venues is doubling every year",Graduate students seeking research topics should note that publications on cryptocurrencies and blockchain technology double yearly,6,55.4,18,1,28
So there's huge opportunity here,There is a large opportunity here,8,82.7,6,1,9
So cryptocurrencies are not regular currencies,Cryptocurrencies differ from regular currencies,7,72.3,5,1,14
"They're not a dollar or a pound or a euro, what we normally think of as currency","They are not like dollars, pounds, or euros",8,80.9,8,1,10
"So if any of you are graduate students who are looking for an area in which to do research, I think basically the number of papers published on cryptocurrencies and blockchain technology in respected academic venues is doubling every year",Research areas for graduate students include rapid growth in blockchain and cryptocurrency papers,5,43.1,14,1,29
And academia is really embracing this topic,The academic world embraces this topic widely,7,70.0,8,1,15
There's something different,They are something different,9,97.2,4,1,7
There's huge opportunity here,There is significant opportunity available,6,58.8,5,1,11
So there's huge opportunity here,"Thus, there are major opportunities",5,39.4,4,1,9
Bitcoin was sort of created out of nowhere,Bitcoin was seemingly created from nothing,1,19.17,6,1,11
And what does it mean to create a crypto,What does creating a cryptocurrency mean,2,28.62,6,1,9
"And I'm going to start by showing you this picture because I want to highlight how remarkable is our ability to recognize emotions, our human ability to recognize emotions",I'll begin by showing you a picture to highlight our remarkable ability to recognize emotions,3,37.02,16,1,25
"So when you look at this image, for instance, we don't know anything about these people, but we can capture a lot of things about the atmosphere, right","When we see this image, we may not know the people, but we can sense the atmosphere",4,48.11,14,1,22
We see like a positive atmosphere and these people seem to be engaged and seem to be connecting on something,We see a positive atmosphere and people engaged and connecting,5,54.27,11,1,18
All of that is emotional information that we can capture just with one image,All this emotional info is captured with one image,6,68.18,10,1,15
Bitcoin was sort of created out of nowhere,Bitcoin was created from nothing,7,74.21,5,1,9
And what does it mean to create a crypto,What does it mean to create crypto,8,81.63,7,1,10
I'll begin by showing you a picture to highlight our remarkable ability to recognize emotions,I'll show you a picture to highlight our emotion-recognition ability,9,93.41,12,1,18
All of that is emotional information that we can capture just with one image,That's emotional information we get from one image,10,90.71,9,1,12
We have this remarkable capacity for recognizing emotions,We can recognize emotions well,9,91.2,5,1,9
Why is this capacity useful for us,Why is this skill useful,8,81.13,5,1,8
It's very important in our social interactions,It matters a lot in our social life,7,73.78,8,1,12
"When we interact with people, we are constantly making guesses about how others feel in order to adapt the way we communicate to others' emotions",We guess others' feelings to adapt our communication when interacting with people,6,65.17,16,1,25
"It's very important to detect people's needs as well, and also to predict people's reactions",Detecting people's needs and predicting reactions are vital,5,53.73,9,1,16
And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes,Emotions greatly impact our lives and cognitive functions,4,42.32,10,1,20
We have this remarkable capacity for recognizing emotions,Recognizing emotions is an outstanding ability we possess,3,34.91,8,1,23
Why is this capacity useful for us,Understanding this emotion-recognition ability’s usefulness is essential,2,26.14,7,1,19
It's very important in our social interactions,"In social interactions, its importance is indisputable",2,25.64,7,1,18
"It's very important to detect people's needs as well, and also to predict people's reactions",It is crucial to perceive others’ needs and predict their reactions,1,17.95,9,1,27
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right","Our attention, memory, and learning are affected by emotions. AI of the future is envisioned to have emotional intelligence, seen in many movies. Emotions are complex",9,90.1,28,4,46
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right","Emotions impact attention, memory, and learning. AI is predicted to have emotional intelligence, as often shown in movies. Emotions remain complex",8,81.5,26,3,41
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right","Emotions play a crucial role in attention, memory, and learning. Future AI with emotional intelligence is often depicted in movies. Emotions are complex",7,73.6,27,3,45
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right","Emotions affect attention, memory, and learning processes. Future AI is expected to have emotions, as shown in movies. Emotions are complicated",6,65.3,25,3,43
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right","Emotions modulate attention and affect memory and learning. Future AI is envisioned to have emotional intelligence, as seen in movies. Emotions are complex",5,55.1,27,3,52
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right","Emotions influence memory, attention, and learning. Future AI may have emotional intelligence, as seen in movies. Emotions are intricate",4,45.2,24,3,50
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right","Emotions affect attention mechanisms, memory, and learning. Future AI, often shown in movies, will have emotional intelligence. Emotions are complex",3,35.1,28,3,57
