original_sentence,summary,level,FRE,performance
"kind of invented 10 years ago when, I don't know.","Conceived a decade back, uncertain.",1,49.48000000000002,0
"kind of invented 10 years ago when, I don't know.","Created around ten years back, I think.",2,78.87285714285717,0
"kind of invented 10 years ago when, I don't know.",Sort of came up with it about ten years ago.,3,95.165,0
"kind of invented 10 years ago when, I don't know.","Invented it approximately a decade ago, I'm unsure how.",4,28.50000000000003,0
"kind of invented 10 years ago when, I don't know.","Was sort of invented ten years ago, I think.",5,84.90000000000003,0
"kind of invented 10 years ago when, I don't know.","It was kind of invented a decade ago, I'm unsure.",6,69.78500000000001,1
"kind of invented 10 years ago when, I don't know.","It was kind of made ten years ago, I guess.",7,103.625,0
"kind of invented 10 years ago when, I don't know.","It was sort of made a decade ago, I think.",8,95.165,0
"kind of invented 10 years ago when, I don't know.","Made around ten years ago, it seems.",9,90.95857142857145,1
How many of you know the origin story of where.,How many know the tale of the origin.,1,82.39000000000001,0
How many of you know the origin story of where.,Do you know the story of who started this?,2,94.30000000000001,0
How many of you know the origin story of where.,Who here knows the beginning tale of this place?,3,94.30000000000001,0
How many of you know the origin story of where.,Who can tell the origin story of where?,4,82.39000000000001,0
How many of you know the origin story of where.,Who among you knows the place's origin story?,5,61.24000000000001,0
How many of you know the origin story of where.,Can any of you explain the origin story?,6,61.24000000000001,1
How many of you know the origin story of where.,Do you know where the origin story comes from?,7,84.90000000000003,0
How many of you know the origin story of where.,Who knows where the origin story begins?,8,66.7871428571429,0
How many of you know the origin story of where.,Who knows where the story started?,9,87.94500000000002,0
How many of you know the origin story of where.,Who knows the origin story here?,1,73.84500000000001,0
dropped a paper and some open source code in a.|,Dropped a paper and some code.|,1,102.045,0
dropped a paper and some open source code in a.|,Left a paper and some code.|,2,102.045,0
dropped a paper and some open source code in a.|,A paper and code were dropped.|,3,102.045,0
dropped a paper and some open source code in a.|,A paper and some code were dropped.|,4,103.04428571428575,0
dropped a paper and some open source code in a.|,Dropped a research paper and some open source code.|,7,84.90000000000003,0
dropped a paper and some open source code in a.|,I dropped a paper and code.|,8,102.045,0
dropped a paper and some open source code in a.|,Dropped code and paper.|,9,97.025,1
dropped a paper and some open source code in a.|,Dropped a paper.|,1,90.99000000000004,0
"forum on an email list and said, hey, I have.","In a forum on an email list, someone said, ""Hey, I have.""",1,88.905,0
"forum on an email list and said, hey, I have.","In an email list forum, someone said, ""Hey, I have.""",2,86.70500000000001,0
"forum on an email list and said, hey, I have.","On an email forum, someone said, ""Hey, I have.""",3,84.90000000000003,0
"forum on an email list and said, hey, I have.","Someone on an email forum remarked, ""Hey, I have.""",4,66.10000000000002,0
"forum on an email list and said, hey, I have.","A person on an email list said, ""Hey, I have.""",5,95.165,0
"forum on an email list and said, hey, I have.","A user in an email forum said, ""Hey, I have.""",6,86.70500000000001,0
"forum on an email list and said, hey, I have.","In an email forum, a user said, ""Hey, I have.""",7,86.70500000000001,0
"forum on an email list and said, hey, I have.","Someone said in an email forum, ""Hey, I have.""",8,84.90000000000003,1
"forum on an email list and said, hey, I have.","Someone in an email forum said, ""Hey, I have.""",9,84.90000000000003,0
"forum on an email list and said, hey, I have.","A user said in an email forum, ""Hey, I have.""",1,86.70500000000001,0
like electronic cash. Here's how I think it could work.|,akin to digital money. Let me explain how this can function.|,1,70.50704545454548,0
like electronic cash. Here's how I think it could work.|,like cash online. How it works.|,1,105.09000000000002,0
And here is some code if you want to run.|,Here is code to run.|,9,117.16000000000003,0
And here is some code if you want to run.|,"If you want code, here it is to run.|",8,113.10000000000002,0
And here is some code if you want to run.|,"If desired, you can run this code here.|",7,103.54,0
And here is some code if you want to run.|,"If you wish to execute it, here is the code.|",6,95.165,0
And here is some code if you want to run.|,"If you want to run it, the code is here for you.|",5,110.055,0
And here is some code if you want to run.|,"For those who wish to execute it, this code is available.|",4,72.61545454545457,0
And here is some code if you want to run.|,"Provided for your use, the code is ready should you wish to run it.|",3,89.89642857142859,0
And here is some code if you want to run.|,"Should you desire, you may execute this code provided here for usage.|",2,67.75500000000001,0
