original_sentence,summary,level,FRE,performance
"dropped a paper and some open source code in a forum on an email list and said, hey, I have.|","Shared paper and code on a forum, mentioning, ""hey, I have something"".|",3,74.805,0
"dropped a paper and some open source code in a forum on an email list and said, hey, I have.|","Shared a paper and open source code in a forum, announced ""I have"".|",4,83.0092307692308,0
"dropped a paper and some open source code in a forum on an email list and said, hey, I have.|","Shared paper and code online, saying: ""I have something"".|",7,75.50000000000003,1
"dropped a paper and some open source code in a forum on an email list and said, hey, I have.|","Posted paper and code, saying, ""Hey, I have something"".|",8,75.50000000000003,0
"dropped a paper and some open source code in a forum on an email list and said, hey, I have.|","Posted paper and code, ""Hey, I have this"".|",9,92.965,1
And here is some code if you want to run it and become part of this peer-to-peer network. We don't.|,"Here is the code, run it to join the network.|",9,103.625,0
And here is some code if you want to run it and become part of this peer-to-peer network. We don't.|,Use the code provided to join this peer network.|,7,84.90000000000003,0
And here is some code if you want to run it and become part of this peer-to-peer network. We don't.|,Run this code to join the peer network.|,5,103.54,0
know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's\.|,I am not aware who this individual is. They have vanished from the internet and the world.\.|,2,76.671568627451,0
"created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created.|","Created an idea that fascinated many and, by various metrics, has resulted in creation.|",1,17.382142857142867,1
"created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created.|","Developed something that fascinated numerous individuals and, according to different metrics, created.|",2,-23.89500000000001,0
"created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created.|","Made something remarkable that intrigued many, and by various measures, created.|",5,18.77909090909094,0
"created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created.|","Created something that fascinated many and, by various measures, created.|",6,2.105000000000018,0
"created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created.|","Created something capturing many people's imaginations and, by various measures, created.|",7,-19.6754545454545,0
"created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created.|","Made something that captured many people's imaginations, by various measures.|",8,10.564999999999998,0
"created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created.|","Made something fascinating many, by distinct metrics.|",9,30.53000000000003,0
billions and billions of dollars of economic value and sort of inspired a lot of people to think about how.|,vast amounts of economic value and inspired many to consider how.|,1,34.160909090909115,0
billions and billions of dollars of economic value and sort of inspired a lot of people to think about how.|,large sums of economic value motivated many to contemplate how.|,2,27.485000000000014,1
billions and billions of dollars of economic value and sort of inspired a lot of people to think about how.|,immense economic value inspired many people to reflect on how.|,3,27.485000000000014,0
billions and billions of dollars of economic value and sort of inspired a lot of people to think about how.|,significant economic value prompted many to consider how.|,4,-2.2099999999999795,0
billions and billions of dollars of economic value and sort of inspired a lot of people to think about how.|,huge economic value inspired many to think about how.|,5,37.900000000000034,0
billions and billions of dollars of economic value and sort of inspired a lot of people to think about how.|,significant economic value encouraged many to think.|,6,-5.727142857142809,0
