original_sentence,summary,level
"Obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where'.. ","What is a cryptocurrency? This term was coined about 10 years back, though not everyone knows its origins.. ",9
"Obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where'.. ","What exactly is cryptocurrency? The term emerged roughly a decade ago, though its roots might not be widely known.. ",8
"Obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where'.. ","What is cryptocurrency? The term appeared about 10 years ago, but its origins are not known to many.. ",7
"Obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where'.. ","Do you know what cryptocurrency means? The word started around ten years ago, though few might know its origin story.. ",6
"Obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where'.. ",Do you know what cryptocurrency is? This word appeared around ten years back. Few might be aware of its origin.. ,5
"Obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where'.. ",What is cryptocurrency? This word came about ten years ago. Many are unaware of its origin.. ,4
"Obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where'.. ","What is cryptocurrency? The term originated ten years ago, but not many know its story.. ",3
"Obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where'.. ",What is a cryptocurrency? The term started ten years ago. Its history is not widely known.. ,2
"Obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where'.. ",The term cryptocurrency began ten years ago. Its origin is not widely known.. ,1
"Obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where'.. ",Cryptocurrency started ten years ago; its origin is not common knowledge.. ,1
"Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a forum on an email list and said, hey, I have.. ","A pseudonym posted a paper and code in a forum, introducing Bitcoin.. ",9
"Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a forum on an email list and said, hey, I have.. ",An anonymous person posted Bitcoin's paper and code online.. ,8
"Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a forum on an email list and said, hey, I have.. ",Bitcoin’s origin is a pseudonym posting papers and code on a forum.. ,7
"Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a forum on an email list and said, hey, I have.. ",A pseudonym on the internet posted Bitcoin's paper and code in a forum.. ,6
"Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a forum on an email list and said, hey, I have.. ",A pseudonym introduced Bitcoin by sharing a paper and code on a forum email list.. ,5
"Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a forum on an email list and said, hey, I have.. ","On an email list, a pseudonym posted Bitcoin's paper and open source code.. ",4
"Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a forum on an email list and said, hey, I have.. ",Bitcoin was made known when a pseudonym shared a paper and code in a forum email list.. ,3
"Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a forum on an email list and said, hey, I have.. ","A pseudonym released Bitcoin's paper and code in a forum's email list, introducing it.. ",2
