original_sentence,summary,level
"obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a.|",What is a cryptocurrency? This term was created about 10 years ago when a pseudonym released a paper and code online.|,9
"obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a.|",Cryptocurrency is a term invented around a decade ago when someone using a pseudonym posted a paper and some code online.|,8
"obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a.|",A pseudonym created the term cryptocurrency ten years ago by releasing a paper and some code online.|,7
"obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a.|",The term cryptocurrency was coined a decade ago when an unknown person released a document and code online.|,6
"obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a.|",Cryptocurrency is a term invented about ten years ago when an anonymous person published a paper and some code online.|,5
"obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a.|",The term cryptocurrency was invented roughly a decade ago by a pseudonymous author who released a paper and open source code.|,4
"obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a.|",The concept of cryptocurrency was introduced ten years ago when someone using a pseudonym posted a document and code online.|,3
"obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a.|","Ten years ago, the word cryptocurrency was coined when an anonymous person shared a paper and code online.|",2
"obvious is what is a cryptocurrency? So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a.|","A decade ago, a pseudonymous figure introduced the concept of cryptocurrency with a paper and code.|",1
"forum on an email list and said, hey, I have this idea for this thing called Bitcoin. It's kind of like electronic cash. Here's how I think it could work. And here is some code if you want to run it and become part of this peer-to-peer network. We don't.|",I shared the idea of Bitcoin as electronic cash on an email forum with code to join the peer-to-peer network.|,9
"forum on an email list and said, hey, I have this idea for this thing called Bitcoin. It's kind of like electronic cash. Here's how I think it could work. And here is some code if you want to run it and become part of this peer-to-peer network. We don't.|",I described Bitcoin as electronic cash via email with code to join the network.|,8
"forum on an email list and said, hey, I have this idea for this thing called Bitcoin. It's kind of like electronic cash. Here's how I think it could work. And here is some code if you want to run it and become part of this peer-to-peer network. We don't.|","I proposed Bitcoin, explaining it's electronic cash, and provided code in an email forum.|",7
"forum on an email list and said, hey, I have this idea for this thing called Bitcoin. It's kind of like electronic cash. Here's how I think it could work. And here is some code if you want to run it and become part of this peer-to-peer network. We don't.|",I introduced Bitcoin as electronic cash and shared the concept and code via email.|,6
"forum on an email list and said, hey, I have this idea for this thing called Bitcoin. It's kind of like electronic cash. Here's how I think it could work. And here is some code if you want to run it and become part of this peer-to-peer network. We don't.|","I shared my concept of Bitcoin, resembling electronic cash, and included code in an email.|",5
"forum on an email list and said, hey, I have this idea for this thing called Bitcoin. It's kind of like electronic cash. Here's how I think it could work. And here is some code if you want to run it and become part of this peer-to-peer network. We don't.|","I emailed about Bitcoin, likening it to e-cash, offering code and network details.|",4
"forum on an email list and said, hey, I have this idea for this thing called Bitcoin. It's kind of like electronic cash. Here's how I think it could work. And here is some code if you want to run it and become part of this peer-to-peer network. We don't.|","Bitcoin was likened to electronic cash, with ideas and code emailed to a forum.|",3
"forum on an email list and said, hey, I have this idea for this thing called Bitcoin. It's kind of like electronic cash. Here's how I think it could work. And here is some code if you want to run it and become part of this peer-to-peer network. We don't.|","Bitcoin, like e-cash, had its idea and code shared via email forum.|",2
"forum on an email list and said, hey, I have this idea for this thing called Bitcoin. It's kind of like electronic cash. Here's how I think it could work. And here is some code if you want to run it and become part of this peer-to-peer network. We don't.|",Bitcoin was portrayed as e-cash; sent idea and code through email forum.|,1
"know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort.|",Who is this person? They have vanished from the internet and the world but created something that fascinated many and generated billions in value.|,9
"know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort.|",Do you know who this person is? They have disappeared online and globally but made something intriguing that generated billions in economic value.|,8
"know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort.|",Perhaps you know this person who has vanished from the internet and world. They created something that intrigued many and produced billions in economic value.|,7
"know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort.|",Do you know this person who vanished from the internet and world? They created something that fascinated others and generated billions in value.|,6
"know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort.|",Do you know who this person is? They vanished from the internet and the world but created something that fascinated many and made billions.|,5
"know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort.|",Know this person? They vanished online and globally but created something that captured imaginations and made billions.|,4
"know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort.|",Do you know this person who disappeared from the internet and the world? They made something that fascinated many and made billions.|,3
"know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort.|",Know who this person is? They vanished from the internet and world but made something that captured imaginations and generated billions.|,2
"know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort.|","This person vanished from the internet and the world. They created something mesmerizing, generating billions.|",1
"of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our.|","Inspired many to use the technology for various problems, not just payments. Cryptocurrencies are encouraging thoughts about banking the unbanked and adding auditability and traceability.|",1
"of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our.|",Many people are inspired by this tech to solve various issues beyond payments. It inspires ideas to bank the unbanked and add more auditability and traceability.|,2
"of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our.|","This technology has inspired people to solve many problems, not just payments, and think of ways to bank the unbanked, add more auditability and traceability.|",3
"of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our.|","People are inspired to solve many problems with this technology, not just payments. It encourages thinking about banking the unbanked and adding auditability and traceability.|",4
"of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our.|",This technology inspires solutions for various problems beyond payments like banking the unbanked and adding auditability and traceability.|,5
"of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our.|","The technology inspires solving many problems beyond payments, like banking the unbanked and adding traceability.|",6
"of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our.|","This tech is used for problems beyond payments, like banking the unbanked and adding traceability.|",7
"of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our.|","This tech solves problems beyond payments, like banking the unbanked.|",8
"of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our.|",This tech solves problems beyond payments.|,9
"world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to.|","Read the internet, and you'll think blockchains solve all issues. But this class won't cover that aspect.|",9
"world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to.|","Online, blockchains seem to fix all problems, but this class will focus on other aspects.|",8
"world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to.|","The internet suggests blockchains can fix many issues, but the class will cover different topics.|",7
"world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to.|","Blockchains are touted online as problem-solvers, but this course won’t focus on those uses.|",6
