Sentence Number,Sentence
1,obvious is what is a cryptocurrency?
2,"So this word was kind of invented 10 years ago when, I don't know how many of you know the origin story of where Bitcoin came from, but basically a pseudonym on the internet dropped a paper and some open source code in a forum on an email list and said, hey, I have this idea for this thing called Bitcoin."
3,It's kind of like electronic cash.
4,Here's how I think it could work.
5,And here is some code if you want to run it and become part of this peer-to-peer network.
6,We don't know who this person is.
7,This person is basically virtually disappeared from the internet and from the world.
8,"But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments."
9,"So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet."
10,"Now, that's not exactly what this class is about."
11,This class is not going to be about applications.
12,This class is going to be about technology and infrastructure.
13,"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line."
14,That's kind of up to you.
15,But we're not going to be doing digital identity or health care records or something like that.
16,We're going to be talking about the technology.
17,So a big question is how are cryptocurrencies different from regular currencies?
18,And another thing that I want to make really clear is that the terms in this space are still being defined.
19,"So you will hear people throw around all sorts of terms, cryptocurrency, blockchain, consensus."
20,And these words are kind of have floating evolving meanings right now.
21,"Part of that is because Bitcoin, the first cryptocurrency, didn't come from academia as far as we know."
22,It came from a community of enthusiasts on the internet.
23,And so it doesn't necessarily have the same basis and rigor that we might expect for most of our academic fields of study.
24,It's totally OK. We're figuring it out as we go along.
25,And academia is really embracing this topic.
26,"So if any of you are graduate students who are looking for an area in which to do research, I think basically the number of papers published on cryptocurrencies and blockchain technology in respected academic venues is doubling every year."
27,So there's huge opportunity here.
28,So cryptocurrencies are not regular currencies.
29,"They're not a dollar or a pound or a euro, what we normally think of as currency."
30,There's something different.
31,Bitcoin was sort of created out of nowhere.
32,And what does it mean to create a crypto?
33,"And I'm going to start by showing you this picture because I want to highlight how remarkable is our ability to recognize emotions, our human ability to recognize emotions."
34,"So when you look at this image, for instance, we don't know anything about these people, but we can capture a lot of things about the atmosphere, right?"
35,We see like a positive atmosphere and these people seem to be engaged and seem to be connecting on something.
36,All of that is emotional information that we can capture just with one image.
37,We have this remarkable capacity for recognizing emotions.
38,Why is this capacity useful for us?
39,It's very important in our social interactions.
40,"When we interact with people, we are constantly making guesses about how others feel in order to adapt the way we communicate to others' emotions."
41,"It's very important to detect people's needs as well, and also to predict people's reactions."
42,And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes.
43,"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process."
44,So emotions are so important in our lives.
45,"We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here?"
46,So most of you have seen at least one of these movies.
47,"So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence."
48,"But on the other side, emotions are so complex, right?"
49,Even for us sometimes it's difficult to know how others feel.
50,"We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel."
51,So how can machines do something that complex?
52,"Well, the thing is that when our emotions change, there are a lot of things that change in our body."
53,"So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes."
54,"Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures."
55,We use different gestures depending on how we feel.
56,"Our voice can change as well, the way we write, the way we type in our phones, for instance."
57,So there are a lot of signals that change with our emotions.
58,So what we can do is all of these signals can be captured with different types of sensors.
59,"And then we capture these signals, and if we have data, label data with emotions, What we can do is we can try to find patterns in these signals that correlate with emotions and develop machine learning algorithms or systems that can recognize the emotions using this type of information."
60,The same way we process other type of information.
61,"I'm going to focus first on the, so I'm going to talk about some examples of how can we capture this emotional information."
62,"And I'm going to start with vision modality, which is one of my areas of expertise."
63,"So visual modality, cameras."
64,What has been done so far for recognizing emotions from information captured by cameras?
65,Any idea?
66,What's the most popular research from a computer vision perspective to recognize emotions?
67,So facial expression is actually the most common approach to recognize emotions.
68,"So when I was doing my PhD, I finished like 10 years ago now."
69,And this was a completely unsolved problem.
70,"So I was working a little bit in this type of software, trying to recognize key points in the faces, working with images acquired under controlled environments, and nothing was working by then."
71,"So now after 10 years, we have these softwares that work very well in recognizing some of the key points on your face, tracking these key points, and doing some matching between the emotions, so the expressions that are observed and the possible emotions that they are expressing."
72,"This is an example of a commercial software from a company called Affectiva, where you see that the software detects your key points, analyzes the configuration, and makes some kind of correspondence between this expression and the possible emotion that you are expressing with the facial expression."
73,"This software works very well, so it's very well at detecting the patterns, it's very while detecting the key points, it's complicated to associate the correct emotion to an expression, a phase expression, but it works pretty well in some applications."
74,"It's being used for test users, for instance, but the problem of this software is that it does not work in the wild."
75,So we would like to have machines that can recognize emotions in any condition.
76,"So, if we go back to this image that I showed you before, what happens when we run this type of software here?"
77,"So if we run this type of commercial software, we can detect very well the face of this woman, we can detect the key points, and the software is answering in this case that this woman is feeling happiness because it detects a smile with a strong confidence, it detects attention."
78,"I don't know exactly how this detection of attention works here, but actually it's pretty accurate."
79,But what happens with him?
80,So what happens with him is that the system is not working.
81,So here we have a problem and it's all the key points of the face are not actually visible.
82,So we have strong occlusions and highlights because of the glasses of the person.
83,"And also we have a profile view, so it's not a frontal view anymore where everything is visible, right?"
84,"So this type of software, when you run them in open environments, you face that when you have nonfrontal faces and partial occlusions, they might not work as well as we would like."
85,More problems.
